title,author,edition,url,book_name,download_url
Python Programming Fundamentals,Kent D. Lee,2nd ed.2014,http://link.springer.com/openurl?genre=book&isbn=978-1-4471-6642-9,Python_Programming_Fundamentals,https://link.springer.com//content/pdf/10.1007%2F978-1-4471-6642-9.pdf
The Finite Element Method and Applications in Engineering Using ANS,"SE®rdogan Madenci, Ibrahim Guven",2nd ed.2015,http://link.springer.com/openurl?genre=book&isbn=978-1-4899-7550-8,The_Finite_Element_Method_and_Applications_in_Engineering_Using_ANS,https://link.springer.com//content/pdf/10.1007%2F978-1-4899-7550-8.pdf
Group Theory,"Mildred S. Dresselhaus, GeneDresselhaus, Ado Jorio",2008,http://link.springer.com/openurl?genre=book&isbn=978-3-540-32899-5,Group_Theory,https://link.springer.com//content/pdf/10.1007%2F978-3-540-32899-5.pdf
"Object-Oriented Analysis, Design and Implementation","Brahma Dathan, Sarnath Ramnath",2nd ed.2015,http://link.springer.com/openurl?genre=book&isbn=978-3-319-24280-4,"Object-Oriented_Analysis,_Design_and_Implementation",https://link.springer.com//content/pdf/10.1007%2F978-3-319-24280-4.pdf
Introduction to Embedded Systems,"Manuel Jiménez, Rogelio Palomera,Isidoro Couvertier",2014,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-3143-5,Introduction_to_Embedded_Systems,https://link.springer.com//content/pdf/10.1007%2F978-1-4614-3143-5.pdf
Elementary Mechanics Using Matlab,Anders Malthe-Sørenssen,2015,http://link.springer.com/openurl?genre=book&isbn=978-3-319-19587-2,Elementary_Mechanics_Using_Matlab,https://link.springer.com//content/pdf/10.1007%2F978-3-319-19587-2.pdf
An Introduction to Biomechanics,"Jay D. Humphrey, Sherry L. O’Rourke",2nd ed.2015,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-2623-7,An_Introduction_to_Biomechanics,https://link.springer.com//content/pdf/10.1007%2F978-1-4939-2623-7.pdf
New Introduction to Multiple Time Series Analysis,Helmut Lütkepohl,2005,http://link.springer.com/openurl?genre=book&isbn=978-3-540-27752-1,New_Introduction_to_Multiple_Time_Series_Analysis,https://link.springer.com//content/pdf/10.1007%2F978-3-540-27752-1.pdf
Introduction to Data Science,"Laura Igual, Santi Seguí",1st ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-50017-1,Introduction_to_Data_Science,https://link.springer.com//content/pdf/10.1007%2F978-3-319-50017-1.pdf
Calculus With Applications,"Peter D. Lax, Maria Shea Terrell",2nd ed.2014,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-7946-8,Calculus_With_Applications,https://link.springer.com//content/pdf/10.1007%2F978-1-4614-7946-8.pdf
An Introduction to Soil Mechanics,Arnold Verruijt,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-61185-3,An_Introduction_to_Soil_Mechanics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-61185-3.pdf
Game Theory,"LHaawnrse Pnectee rMs . Friedman, Curt D.",2nd ed.2015,http://link.springer.com/openurl?genre=book&isbn=978-3-662-46950-7,Game_Theory,https://link.springer.com//content/pdf/10.1007%2F978-3-662-46950-7.pdf
Fundamentals of Clinical Trials,"Furberg, David L. DeMets, David M.Reboussin, Christopher B. Granger",5th ed.2015,http://link.springer.com/openurl?genre=book&isbn=978-3-319-18539-2,Fundamentals_of_Clinical_Trials,https://link.springer.com//content/pdf/10.1007%2F978-3-319-18539-2.pdf
The Finite Volume Method in Computational Fluid Dynamics,"SF.c oMtto Ru.k aStlleedl,e L, .T Mraacny gLa. nHi,u Mll, .T Dhaormwaish",1st ed.2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-16874-6,The_Finite_Volume_Method_in_Computational_Fluid_Dynamics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-16874-6.pdf
The ASCRS Textbook of Colon and Rectal Surgery,"E. Read, Theodore J. Saclarides,Anthony J. Senagore, Charles B.",3rd ed.2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-25970-3,The_ASCRS_Textbook_of_Colon_and_Rectal_Surgery,https://link.springer.com//content/pdf/10.1007%2F978-3-319-25970-3.pdf
Applied Predictive Modeling,"Max Kuhn, Kjell Johnson",2013,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-6849-3,Applied_Predictive_Modeling,https://link.springer.com//content/pdf/10.1007%2F978-1-4614-6849-3.pdf
Evidence-Based Interventions for Children with Challenging Behavior,"Ogg, Ashley N. Sundman-Wheat,Audra St. John Walsh",2014,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-7807-2,Evidence-Based_Interventions_for_Children_with_Challenging_Behavior,https://link.springer.com//content/pdf/10.1007%2F978-1-4614-7807-2.pdf
Sustainability Science,"Harald Heinrichs, Pim Martens, GerdMichelsen, Arnim Wiek",1st ed.2016,http://link.springer.com/openurl?genre=book&isbn=978-94-017-7242-6,Sustainability_Science,https://link.springer.com//content/pdf/10.1007%2F978-94-017-7242-6.pdf
Physical Chemistry from a Different Angle,"Georg Job, Regina Rüffler",1st ed.2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-15666-8,Physical_Chemistry_from_a_Different_Angle,https://link.springer.com//content/pdf/10.1007%2F978-3-319-15666-8.pdf
The Physics of Semiconductors,Marius Grundmann,3rd ed.2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-23880-7,The_Physics_of_Semiconductors,https://link.springer.com//content/pdf/10.1007%2F978-3-319-23880-7.pdf
Energy Harvesting and Energy Efficiency,"Nicu Bizon, Naser MahdaviTabatabaei, Frede Blaabjerg, Erol Kurt",1st ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-49875-1,Energy_Harvesting_and_Energy_Efficiency,https://link.springer.com//content/pdf/10.1007%2F978-3-319-49875-1.pdf
Python For ArcGIS,Laura Tateosian,1st ed.2015,http://link.springer.com/openurl?genre=book&isbn=978-3-319-18398-5,Python_For_ArcGIS,https://link.springer.com//content/pdf/10.1007%2F978-3-319-18398-5.pdf
Statics and Mechanics of Structures,"Steen Krenk, Jan Høgsberg",2013,http://link.springer.com/openurl?genre=book&isbn=978-94-007-6113-1,Statics_and_Mechanics_of_Structures,https://link.springer.com//content/pdf/10.1007%2F978-94-007-6113-1.pdf
Real Analysis,"Miklós Laczkovich, Vera T. Sós",1st ed.2015,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-2766-1,Real_Analysis,https://link.springer.com//content/pdf/10.1007%2F978-1-4939-2766-1.pdf
MATLAB for Psychologists,"Mauro Borgo, Alessandro Soranzo,Massimo Grassi",2012,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-2197-9,MATLAB_for_Psychologists,https://link.springer.com//content/pdf/10.1007%2F978-1-4614-2197-9.pdf
Physical Asset Management,Nicholas Anthony John Hastings,2nd ed.2015,http://link.springer.com/openurl?genre=book&isbn=978-3-319-14777-2,Physical_Asset_Management,https://link.springer.com//content/pdf/10.1007%2F978-3-319-14777-2.pdf
Essentials of Food Science,"Vickie A. Vaclavik, Elizabeth W.Christian",4th ed.2014,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-9138-5,Essentials_of_Food_Science,https://link.springer.com//content/pdf/10.1007%2F978-1-4614-9138-5.pdf
Quantum Mechanics,K.T. Hecht,2000,http://link.springer.com/openurl?genre=book&isbn=978-1-4612-1272-0,Quantum_Mechanics,https://link.springer.com//content/pdf/10.1007%2F978-1-4612-1272-0.pdf
Probability Theory,Achim Klenke,2nd ed.2014,http://link.springer.com/openurl?genre=book&isbn=978-1-4471-5361-0,Probability_Theory,https://link.springer.com//content/pdf/10.1007%2F978-1-4471-5361-0.pdf
Concise Guide to Databases,"Peter Lake, Paul Crowther",2013,http://link.springer.com/openurl?genre=book&isbn=978-1-4471-5601-7,Concise_Guide_to_Databases,https://link.springer.com//content/pdf/10.1007%2F978-1-4471-5601-7.pdf
Digital Image Processing,"Wilhelm Burger, Mark J. Burge",2nd ed.2016,http://link.springer.com/openurl?genre=book&isbn=978-1-4471-6684-9,Digital_Image_Processing,https://link.springer.com//content/pdf/10.1007%2F978-1-4471-6684-9.pdf
Chemical and Bioprocess Engineering,"Ricardo Simpson, Sudhir K. Sastry",2013,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-9126-2,Chemical_and_Bioprocess_Engineering,https://link.springer.com//content/pdf/10.1007%2F978-1-4614-9126-2.pdf
Transmission Electron Microscopy,"David B. Williams, C. Barry Carter",1996,http://link.springer.com/openurl?genre=book&isbn=978-1-4757-2519-3,Transmission_Electron_Microscopy,https://link.springer.com//content/pdf/10.1007%2F978-1-4757-2519-3.pdf
Guide to Computer Network Security,Joseph Migga Kizza,4th ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-55606-2,Guide_to_Computer_Network_Security,https://link.springer.com//content/pdf/10.1007%2F978-3-319-55606-2.pdf
Introduction to Law,"Jaap Hage, Antonia Waltermann,Bram Akkermans",2nd ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-57252-9,Introduction_to_Law,https://link.springer.com//content/pdf/10.1007%2F978-3-319-57252-9.pdf
Advanced Quantum Mechanics,RAINER DICK,2nd ed.2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-25675-7,Advanced_Quantum_Mechanics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-25675-7.pdf
Introduction to Logic Circuits & Logic Design with VHDL,Brock J. LaMeres,1st ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-34195-8,Introduction_to_Logic_Circuits_&_Logic_Design_with_VHDL,https://link.springer.com//content/pdf/10.1007%2F978-3-319-34195-8.pdf
"Robotics, Vision and Control",Peter Corke,2011,http://link.springer.com/openurl?genre=book&isbn=978-3-642-20144-8,"Robotics,_Vision_and_Control",https://link.springer.com//content/pdf/10.1007%2F978-3-642-20144-8.pdf
Applied Chemistry,"Oleg Roussak, H. D. Gesser",2nd ed.2013,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-4262-2,Applied_Chemistry,https://link.springer.com//content/pdf/10.1007%2F978-1-4614-4262-2.pdf
Advanced Organic Chemistry,"Francis A. Carey, Richard J. Sundberg",5th ed.2007,http://link.springer.com/openurl?genre=book&isbn=978-0-387-44899-2,Advanced_Organic_Chemistry,https://link.springer.com//content/pdf/10.1007%2F978-0-387-44899-2.pdf
Advanced Organic Chemistry,"Francis A. Carey, Richard J. Sundberg",5th ed.2007,http://link.springer.com/openurl?genre=book&isbn=978-0-387-71481-3,Advanced_Organic_Chemistry,https://link.springer.com//content/pdf/10.1007%2F978-0-387-71481-3.pdf
International Humanitarian Action,"Hans-Joachim Heintze, PierreUThmieblberötrog eVreronesi, Aron Goldhirsch,",1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-14454-2,International_Humanitarian_Action,https://link.springer.com//content/pdf/10.1007%2F978-3-319-14454-2.pdf
Breast Cancer,"Paolo Veronesi, Oreste DavideGentilini, Maria Cristina Leonardi",1st ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-48848-6,Breast_Cancer,https://link.springer.com//content/pdf/10.1007%2F978-3-319-48848-6.pdf
"Travel Marketing, Tourism Economics and the Airline Product","EMfraarikm A Tnuthrboanny,  CJoamn Oilluetrliand, David",1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-49849-2,"Travel_Marketing,_Tourism_Economics_and_the_Airline_Product",https://link.springer.com//content/pdf/10.1007%2F978-3-319-49849-2.pdf
Electronic Commerce 2018,"King, Jae Kyu Lee, Ting-Peng Liang,Deborrah C. Turban",9th ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-58715-8,Electronic_Commerce_2018,https://link.springer.com//content/pdf/10.1007%2F978-3-319-58715-8.pdf
Disability and Vocational Rehabilitation in Rural Settings,"Debra A. Harley, Noel A. Ysasi,Malachy L. Bishop, Allison R. Fleming",1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-64786-9,Disability_and_Vocational_Rehabilitation_in_Rural_Settings,https://link.springer.com//content/pdf/10.1007%2F978-3-319-64786-9.pdf
Teaching Medicine and Medical Ethics Using Popular Culture,"Evie Kendal, Basia Diug",1st ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-65451-5,Teaching_Medicine_and_Medical_Ethics_Using_Popular_Culture,https://link.springer.com//content/pdf/10.1007%2F978-3-319-65451-5.pdf
Market Research,"Erik Mooi, Marko Sarstedt, Irma Mooi-JRoesceiph I. Goldstein, Dale E. Newbury,",1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-981-10-5218-7,Market_Research,https://link.springer.com//content/pdf/10.1007%2F978-981-10-5218-7.pdf
Scanning Electron Microscopy and X-Ray Microanalysis,"Joseph R. Michael, Nicholas W.M.Ritchie, John Henry J. Scott, David C.",4th ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-6676-9,Scanning_Electron_Microscopy_and_X-Ray_Microanalysis,https://link.springer.com//content/pdf/10.1007%2F978-1-4939-6676-9.pdf
ArcGIS for Environmental and Water Issues,William Bajjali,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-61158-7,ArcGIS_for_Environmental_and_Water_Issues,https://link.springer.com//content/pdf/10.1007%2F978-3-319-61158-7.pdf
Physics from Symmetry,Jakob Schwichtenberg,2nd ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-66631-0,Physics_from_Symmetry,https://link.springer.com//content/pdf/10.1007%2F978-3-319-66631-0.pdf
Communication and Bioethics at the End of Life,"Lori A. Roscoe, David P. Schenck",1st ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-70920-8,Communication_and_Bioethics_at_the_End_of_Life,https://link.springer.com//content/pdf/10.1007%2F978-3-319-70920-8.pdf
Foundations of Programming Languages,Kent D. Lee,2nd ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-70790-7,Foundations_of_Programming_Languages,https://link.springer.com//content/pdf/10.1007%2F978-3-319-70790-7.pdf
Problems in Classical Electromagnetism,"Andrea Macchi, Giovanni Moruzzi,Francesco Pegoraro",1st ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-63133-2,Problems_in_Classical_Electromagnetism,https://link.springer.com//content/pdf/10.1007%2F978-3-319-63133-2.pdf
Polymer Chemistry,"Sebastian Koltzenburg, MichaelMaskos, Oskar Nuyken",1st ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-662-49279-6,Polymer_Chemistry,https://link.springer.com//content/pdf/10.1007%2F978-3-662-49279-6.pdf
Probability and Statistics for Computer Science,David Forsyth,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-64410-3,Probability_and_Statistics_for_Computer_Science,https://link.springer.com//content/pdf/10.1007%2F978-3-319-64410-3.pdf
Bayesian Essentials with R,"Jean-Michel Marin, Christian P.Robert",2nd ed.2014,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-8687-9,Bayesian_Essentials_with_R,https://link.springer.com//content/pdf/10.1007%2F978-1-4614-8687-9.pdf
Political Social Work,"Shannon R. Lane, Suzanne Pritzker",1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-68588-5,Political_Social_Work,https://link.springer.com//content/pdf/10.1007%2F978-3-319-68588-5.pdf
Introductory Quantum Mechanics,Paul R. Berman,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-68598-4,Introductory_Quantum_Mechanics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-68598-4.pdf
Guide to Competitive Programming,Antti Laaksonen,1st ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-72547-5,Guide_to_Competitive_Programming,https://link.springer.com//content/pdf/10.1007%2F978-3-319-72547-5.pdf
Introduction to Artificial Intelligence,Wolfgang Ertel,2nd ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-58487-4,Introduction_to_Artificial_Intelligence,https://link.springer.com//content/pdf/10.1007%2F978-3-319-58487-4.pdf
Bioinformatics for Evolutionary Biologists,"Bernhard Haubold, Angelika Börsch-Haubold",1st ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-67395-0,Bioinformatics_for_Evolutionary_Biologists,https://link.springer.com//content/pdf/10.1007%2F978-3-319-67395-0.pdf
"Concepts, Methods and Practical Applications in Applied Demography",Richard K. Thomas,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-65439-3,"Concepts,_Methods_and_Practical_Applications_in_Applied_Demography",https://link.springer.com//content/pdf/10.1007%2F978-3-319-65439-3.pdf
Introduction to Deep Learning,Sandro Skansi,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-73004-2,Introduction_to_Deep_Learning,https://link.springer.com//content/pdf/10.1007%2F978-3-319-73004-2.pdf
Energy and the Wealth of Nations,"Charles A.S. Hall, Kent Klitgaard",2nd ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-66219-0,Energy_and_the_Wealth_of_Nations,https://link.springer.com//content/pdf/10.1007%2F978-3-319-66219-0.pdf
"A Beginner's Guide to Scala, Object Orientation and Functional Progra",mJoihnng Hunt,2nd ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-75771-1,"A_Beginner's_Guide_to_Scala,_Object_Orientation_and_Functional_Progra",https://link.springer.com//content/pdf/10.1007%2F978-3-319-75771-1.pdf
Lessons on Synthetic Bioarchitectures,"Eva-Kathrin Ehmoser-Sinner, Cherng-Wen Darren Tan",1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-73123-0,Lessons_on_Synthetic_Bioarchitectures,https://link.springer.com//content/pdf/10.1007%2F978-3-319-73123-0.pdf
Managing Sustainable Business,"DGielbtemrta rG G. Lroesnss,s Wene, rNn.e Cr rHaaigu gSmeri,t Jhörg",1st ed.2019,http://link.springer.com/openurl?genre=book&isbn=978-94-024-1144-7,Managing_Sustainable_Business,https://link.springer.com//content/pdf/10.1007%2F978-94-024-1144-7.pdf
Engineering Mechanics 2,"Schröder, Wolfgang A. Wall, JavierBonet",2nd ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-662-56272-7,Engineering_Mechanics_2,https://link.springer.com//content/pdf/10.1007%2F978-3-662-56272-7.pdf
Fundamentals of Business Process Management,"Marlon Dumas, Marcello La Rosa, JanMendling, Hajo A. Reijers",2nd ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-662-56509-4,Fundamentals_of_Business_Process_Management,https://link.springer.com//content/pdf/10.1007%2F978-3-662-56509-4.pdf
Clinical Methods in Medical Family Therapy,"Tai Mendenhall, Angela Lamson,Jennifer Hodgson, Macaran Baird",1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-68834-3,Clinical_Methods_in_Medical_Family_Therapy,https://link.springer.com//content/pdf/10.1007%2F978-3-319-68834-3.pdf
Guide to Scientific Computing in C++,"Joe Pitt-Francis, Jonathan Whiteley",2nd ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-73132-2,Guide_to_Scientific_Computing_in_C++,https://link.springer.com//content/pdf/10.1007%2F978-3-319-73132-2.pdf
Motivation and Action,"Jutta Heckhausen, Heinz Heckhausen",3rd ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-65094-4,Motivation_and_Action,https://link.springer.com//content/pdf/10.1007%2F978-3-319-65094-4.pdf
Perspectives on Elderly Crime and Victimization,"Peter C. Kratcoski, MaximilianEdelbacher",1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-72682-3,Perspectives_on_Elderly_Crime_and_Victimization,https://link.springer.com//content/pdf/10.1007%2F978-3-319-72682-3.pdf
Knowledge Management,"Klaus North, Gita Kumta",2nd ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-59978-6,Knowledge_Management,https://link.springer.com//content/pdf/10.1007%2F978-3-319-59978-6.pdf
An Introduction to Zooarchaeology,Diane Gifford-Gonzalez,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-65682-3,An_Introduction_to_Zooarchaeology,https://link.springer.com//content/pdf/10.1007%2F978-3-319-65682-3.pdf
Empathetic Space on Screen,Amedeo D'Adamo,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-66772-0,Empathetic_Space_on_Screen,https://link.springer.com//content/pdf/10.1007%2F978-3-319-66772-0.pdf
Criminal Justice and Mental Health,"Jada Hector, David Khey",1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-76442-9,Criminal_Justice_and_Mental_Health,https://link.springer.com//content/pdf/10.1007%2F978-3-319-76442-9.pdf
Philosophy of Race,Naomi Zack,1st ed.2018,http://link.springer.com/openurl?genre=book&isbn=978-3-319-78729-9,Philosophy_of_Race,https://link.springer.com//content/pdf/10.1007%2F978-3-319-78729-9.pdf
